Symbol,NSE_Ticker,Traded_As,Series,Date,Prev_Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover_Lacs,No_of_Trades,Delivery_Qty,Delivery_Pct
CDSL,NSE:CDSL,CDSL,EQ,2026-03-06,1239.6,1226.0,1248.0,1221.9,1226.0,1224.1,1234.15,1119602,13817.62,37281,429613.0,38.37
CDSL,NSE:CDSL,CDSL,EQ,2026-03-09,1224.1,1199.0,1214.4,1175.0,1212.8,1210.5,1195.53,2081372,24883.43,72343,605781.0,29.1
CDSL,NSE:CDSL,CDSL,EQ,2026-03-10,1210.5,1234.7,1254.0,1223.0,1253.6,1249.3,1240.37,1624184,20145.97,42198,561333.0,34.56
CDSL,NSE:CDSL,CDSL,EQ,2026-03-11,1249.3,1249.0,1261.7,1215.2,1220.0,1219.4,1236.58,1531624,18939.82,48352,572391.0,37.37
CDSL,NSE:CDSL,CDSL,EQ,2026-03-12,1219.4,1206.0,1218.5,1193.1,1210.0,1210.8,1205.09,1620635,19530.11,59441,530639.0,32.74
CDSL,NSE:CDSL,CDSL,EQ,2026-03-13,1210.8,1205.0,1208.0,1172.2,1178.0,1176.5,1185.6,2195060,26024.69,86610,888762.0,40.49
CDSL,NSE:CDSL,CDSL,EQ,2026-03-16,1176.5,1178.0,1196.0,1159.2,1182.4,1184.5,1176.16,2120620,24941.91,73596,630102.0,29.71
CDSL,NSE:CDSL,CDSL,EQ,2026-03-17,1184.5,1190.0,1206.0,1181.6,1203.5,1199.3,1192.77,1858349,22165.87,49501,611856.0,32.92
CDSL,NSE:CDSL,CDSL,EQ,2026-03-18,1199.3,1209.0,1244.0,1205.3,1233.0,1233.6,1229.6,2027771,24933.43,58306,769733.0,37.96
CDSL,NSE:CDSL,CDSL,EQ,2026-03-19,1233.6,1205.0,1213.9,1187.3,1196.0,1194.2,1199.32,1909124,22896.45,63971,721930.0,37.81
CDSL,NSE:CDSL,CDSL,EQ,2026-03-20,1194.2,1198.0,1213.0,1186.2,1191.0,1190.8,1197.51,1507667,18054.44,52032,503772.0,33.41
CDSL,NSE:CDSL,CDSL,EQ,2026-03-23,1190.8,1175.6,1176.9,1130.0,1131.0,1133.8,1146.21,2661615,30507.58,107781,1142238.0,42.92
CDSL,NSE:CDSL,CDSL,EQ,2026-03-24,1133.8,1170.0,1189.8,1151.1,1187.5,1185.5,1176.33,2510822,29535.63,70343,761258.0,30.32
CDSL,NSE:CDSL,CDSL,EQ,2026-03-25,1185.5,1202.0,1229.9,1200.6,1210.0,1212.8,1219.99,2459343,30003.74,63846,896882.0,36.47
CDSL,NSE:CDSL,CDSL,EQ,2026-03-27,1212.8,1205.2,1206.0,1167.0,1169.0,1171.3,1180.91,2484627,29341.12,81965,988309.0,39.78
CDSL,NSE:CDSL,CDSL,EQ,2026-03-30,1171.3,1152.0,1158.9,1116.3,1121.0,1119.4,1138.1,2950773,33582.8,101702,1222868.0,41.44
